ClusterID,ClusterName,Organism,subunits(UniProt IDs),subunits(Entrez IDs),subunits(Protein name),subunits(Gene name),Complex comment,subunits(Gene name syn)
1,BCL6-HDAC4 complex,Human,P41182;P56524,604;9759,B-cell lymphoma 6 protein ;Histone deacetylase 4,BCL6;HDAC4,Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.,BCL5 LAZ3 ZBTB27 ZNF51;KIAA0288
2,BCL6-HDAC5 complex,Human,P41182;Q9UQL6,604;10014,B-cell lymphoma 6 protein ;Histone deacetylase 5,BCL6;HDAC5,Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.,BCL5 LAZ3 ZBTB27 ZNF51;KIAA0600
3,BCL6-HDAC7 complex,Human,P41182;Q8WUI4,604;51564,B-cell lymphoma 6 protein ;Histone deacetylase 7,BCL6;HDAC7,Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.,BCL5 LAZ3 ZBTB27 ZNF51;HDAC7A
4,Multisubunit ACTR coactivator complex,Human,Q09472;Q92793;Q92831;Q9Y6Q9,2033;1387;8850;8202,Histone acetyltransferase p300 ;CREB-binding protein ;Histone acetyltransferase KAT2B ;Nuclear receptor coactivator 3,EP300;CREBBP;KAT2B;NCOA3,Cofactor ACTR binds directly nuclear receptors and stimulates their transcriptional activities in a hormone-dependent fashion.,P300;CBP;PCAF;AIB1 BHLHE42 RAC3 TRAM1
9,6S-nuclear aryl hydrocarbon (Ah) receptor ligand-activated complex,Mouse,P30561;P53762,11622;11863,Aryl hydrocarbon receptor ;Aryl hydrocarbon receptor nuclear translocator,Ahr;Arnt,"Arnt contains a basic helix-loop-helix motif, which may be responsible for interacting with both the XRE (xenobiotic responsive element) and the ligand-binding subunit.",;
11,BLOC-3 (biogenesis of lysosome-related organelles complex 3),Human,Q92902;Q9NQG7,3257;89781,Hermansky-Pudlak syndrome 1 protein;Hermansky-Pudlak syndrome 4 protein,HPS1;HPS4,The results suggest that HPS1 and HPS4 are components of a protein complex that regulates the intracellular localization of lysosomes and late endosomes and may function in a BLOC-1-dependent pathway for melanosome biogenesis.,HPS;KIAA1667
12,BLOC-2 (biogenesis of lysosome-related organelles complex 2),Human,Q86YV9;Q969F9;Q9UPZ3,79803;84343;11234,Hermansky-Pudlak syndrome 6 protein ;Hermansky-Pudlak syndrome 3 protein;Hermansky-Pudlak syndrome 5 protein,HPS6;HPS3;HPS5,The results suggest that BLOC-2 is not critical for basal levels of secretion of lysosomal enzymes by fibroblasts.,;;AIBP63 KIAA1017
13,MUS81-CDS1 complex,Human,Q92903;Q96NY9,1040;80198,Phosphatidate cytidylyltransferase 1 ;Crossover junction endonuclease MUS81,CDS1;MUS81,None,CDS;
15,NCOR complex,Human,O15379;O60907;O75376;Q13227;Q92828;Q9BZK7,8841;6907;9611;2874;7464;79718,Histone deacetylase 3 ;F-box-like/WD repeat-containing protein TBL1X ;Nuclear receptor corepressor 1 ;G protein pathway suppressor 2 ;Coronin-2A ;F-box-like/WD repeat-containing protein TBL1XR1,HDAC3;TBL1X;NCOR1;GPS2;CORO2A;TBL1XR1,"By using specific small interference RNAs (siRNAs), the authors demonstrate that HDAC3 is essential, whereas TBL1 and TBLR1 are functionally redundant but essential for repression by unliganded thyroid hormone receptor.",;TBL1;KIAA1047;;IR10 WDR2;IRA1 TBLR1
23,BLOC-1 (biogenesis of lysosome-related organelles complex 1),Human,O95295;P78537;Q6QNY0;Q6QNY1;Q8TDH9;Q96EV8;Q9NUP1;Q9UL45,23557;2647;388552;282991;63915;84062;55330;26258,SNARE-associated protein Snapin ;Biogenesis of lysosome-related organelles complex 1 subunit 1 ;Biogenesis of lysosome-related organelles complex 1 subunit 3 ;Biogenesis of lysosome-related organelles complex 1 subunit 2 ;Biogenesis of lysosome-related organelles complex 1 subunit 5 ;Dysbindin ;Biogenesis of lysosome-related organelles complex 1 subunit 4 ;Biogenesis of lysosome-related organelles complex 1 subunit 6,SNAPIN;BLOC1S1;BLOC1S3;BLOC1S2;BLOC1S5;DTNBP1;BLOC1S4;BLOC1S6,"The authors identified Snapin, BLOS1, BLOS2, and BLOS3 as subunits of BLOC-1 and found that the HPS mouse model strain, reduced pigmentation, carries a nonsense mutation in BLOS3. The genes encoding these proteins may underlie the pathogenesis of novel forms of HPS in patients having no detectable mutation in any of the genes that cause HPS types 1-7.",BLOC1S7 SNAP25BP SNAPAP;BLOS1 GCN5L1 RT14;BLOS3;BLOS2 CEAP;MUTED;BLOC1S8;CNO;PA PLDN
25,9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex,Mouse,O08915;P07901;P11499;P30561,11632;15519;15516;11622,AH receptor-interacting protein ;Heat shock protein HSP 90-alpha ;Heat shock protein HSP 90-beta ;Aryl hydrocarbon receptor,Aip;Hsp90aa1;Hsp90ab1;Ahr,"The authors propose that the AhR exists in cytosol as a tetrameric species, while in the nucleus the AhR exists as a heterodimer.",;Hsp86 Hsp86-1 Hspca;Hsp84 Hsp84-1 Hspcb;
26,Bestrophin-protein phosphatase 2A complex,Pig,P11493;P54612;P54613;P67776;Q8WMR7,397136;397088;397470;397656;397169,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform ;Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform ;Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform ;Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform ;Bestrophin-1,PPP2CB;PPP2R1A;PPP2R1B;PPP2CA;BEST1,The interaction of bestrophin and PP2A suggests that phosphorylation or dephosphorylation of bestrophin may act as the on/off switch for the light peak or modulate its amplitude or timing.,;;;;VMD2
27,Arp2/3 protein complex,Human,O15143;O15144;O15145;O15511;P59998;P61158;P61160,10095;10109;10094;10092;10093;10096;10097,Actin-related protein 2/3 complex subunit 1B ;Actin-related protein 2/3 complex subunit 2 ;Actin-related protein 2/3 complex subunit 3 ;Actin-related protein 2/3 complex subunit 5 ;Actin-related protein 2/3 complex subunit 4 ;Actin-related protein 3 ;Actin-related protein 2,ARPC1B;ARPC2;ARPC3;ARPC5;ARPC4;ACTR3;ACTR2,None,ARC41;ARC34;ARC21;ARC16;ARC20;ARP3;ARP2
28,Modulator,Bovine,Q2KIW6;Q3SZ19;Q3SZ81,518637;513315;508448,26S protease regulatory subunit 10B ;26S proteasome non-ATPase regulatory subunit 9 ;PSMC3 protein,PSMC6;PSMD9;PSMC3,"The modulator has no direct effect on the activity of the proteasome, but enhances PA700 activation of the proteasome by up to 8-fold. This activation is associated with the formation of a proteasome/PA700-containing complex that is significantly larger than that formed in its absence. Two of its proteins, p50 and p42, were also identified as components of PA700.",;;
29,PA28gamma complex,Human,P61289,10197,Proteasome activator complex subunit 3,PSME3,None,None
30,PA28 complex,Human,Q06323;Q9UL46,5720;5721,Proteasome activator complex subunit 1 ;Proteasome activator complex subunit 2,PSME1;PSME2,"PA28 is a regulatory complex of the 20S proteasome. It acts as proteasome activator and stimulates cleavage after basic, acidic, and most hydrophobic residues in many peptides.",IFI5111;
32,PA700 complex,Human,O00231;O00232;O00233;O00487;O43242;O75832;P17980;P35998;P43686;P48556;P51665;P55036;P62191;P62195;P62333;Q13200;Q15008;Q16401;Q99460;Q9UNM6,5717;5718;5715;10213;5709;5716;5702;5701;5704;5714;5713;5710;5700;5705;5706;5708;9861;5711;5707;5719,26S proteasome non-ATPase regulatory subunit 11 ;26S proteasome non-ATPase regulatory subunit 12 ;26S proteasome non-ATPase regulatory subunit 9 ;26S proteasome non-ATPase regulatory subunit 14 ;26S proteasome non-ATPase regulatory subunit 3 ;26S proteasome non-ATPase regulatory subunit 10 ;26S protease regulatory subunit 6A ;26S protease regulatory subunit 7 ;26S protease regulatory subunit 6B ;26S proteasome non-ATPase regulatory subunit 8 ;26S proteasome non-ATPase regulatory subunit 7 ;26S proteasome non-ATPase regulatory subunit 4 ;26S protease regulatory subunit 4 ;26S protease regulatory subunit 8 ;26S protease regulatory subunit 10B ;26S proteasome non-ATPase regulatory subunit 2 ;26S proteasome non-ATPase regulatory subunit 6 ;26S proteasome non-ATPase regulatory subunit 5 ;26S proteasome non-ATPase regulatory subunit 1 ;26S proteasome non-ATPase regulatory subunit 13,PSMD11;PSMD12;PSMD9;PSMD14;PSMD3;PSMD10;PSMC3;PSMC2;PSMC4;PSMD8;PSMD7;PSMD4;PSMC1;PSMC5;PSMC6;PSMD2;PSMD6;PSMD5;PSMD1;PSMD13,"The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.",;;;POH1;;;TBP1;MSS1;MIP224 TBP7;;MOV34L;MCB1;;SUG1;SUG2;TRAP2;KIAA0107 PFAAP4;KIAA0072;;
34,Aqp4-Dag1-Dmd-Snta1 complex,Rat,P47863;Q498T0;Q7TPH2;Q7TPH3;Q7TPH4;Q91XP6,25293;362242;24907;24907;24907;114489,Aquaporin-4 ;Snta1 protein ;Dystrophin ;Dystrophin ;Dystrophin ;Dystroglycan 1,Aqp4;Snta1;Dmd;Dmd;Dmd;Dag1,The authors show that expression and subcellular localization of AQP4 depend on association with the dystrophin complex through a tSSV-PDZ-mediated interaction with alpha -syntrophin.,;;;;;
36,AP1 adaptor complex,Human,O43747;O75843;P56377;P61966;Q10567;Q96PC3;Q9BXS5;Q9Y6Q5,164;8906;8905;1174;162;130340;8907;10053,AP-1 complex subunit gamma-1 ;AP-1 complex subunit gamma-like 2 ;AP-1 complex subunit sigma-2 ;AP-1 complex subunit sigma-1A ;AP-1 complex subunit beta-1 ;AP-1 complex subunit sigma-3 ;AP-1 complex subunit mu-1 ;AP-1 complex subunit mu-2,AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1S3;AP1M1;AP1M2,This adaptor-related complex participates in a transport step different from that of AP-1. It may function at some trafficking step in the complex pathways between the TGN and the cell surface.,ADTG CLAPG1;;;AP19 CLAPS1;ADTB1 BAM22 CLAPB2;;CLTNM;
